Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;yrf;137;0,033631119;19100;1;33;57200000;57200000;182400
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;marshmello;120;0,009190141;5100;1;34;56800000;56800000;137000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LooLooKids;0;0,008468468;4700;1;35;55500000;55500000;1100000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TaylorSwift;4600;0,278198198;149800;1;36;55500000;55500000;951800
Juguetes;Juguetes;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BillionSurpriseToys;0;0;0;1;37;54300000;54300000;642700
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;EdSheeran;251;0,015835185;8300;1;38;54000000;54000000;167100
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;shemaroo;7;0,000235529;111;1;39;50100000;50100000;14200
Películas;Películas;Animación;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;JuegaGerman;3000;0,235378323;112100;1;40;48900000;48900000;1900000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BillieEilish;1200;0,086912065;41300;1;41;48900000;48900000;528800
Animación;Animación;Humor;;Europa;Rusia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;A4a4a4a4;20000;0,603483607;274500;1;42;48800000;48800000;9400000
;;;;Ásia;Pakistán;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;ARYDigitalasia;5;0,002264344;1100;1;43;48800000;48800000;32000
Películas;Películas;Humor;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;getmovies;0;0,000905738;442;1;44;48800000;48800000;139700
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;sonymusicindiaVEVO;15;0,000619048;284;1;45;48300000;48300000;17700
Películas;Películas;Juguetes;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;toysandcolors;0;0,005219207;2500;1;46;47900000;47900000;3300000
Películas;Películas;Animación;;Ásia;Pakistán;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;HarPalGeoOfficial;2;0,000152401;71;1;47;47900000;47900000;10200
Música y baile;Música y baile;Películas;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BadBunnyPR;16000;0,678012685;304700;1;48;47300000;47300000;10100000
;;;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;badabunOficial;4;0,000566879;263;1;49;47100000;47100000;6200
;;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;vootkids;0;0,002365591;1100;1;50;46500000;46500000;149700
;;;;Ásia;Filipinas;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;abscbnentertainment;1;0,000169935;77;1;51;45900000;45900000;4200
;;;;América del Sur;Brasil;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;felipeneto;1600;0,208278867;94000;1;52;45900000;45900000;917900
Películas;Películas;Animación;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Mikecrack;3600;0,149339207;64200;1;53;45400000;45400000;1500000
;;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MashaBearRUSSIAN;0;0,015452539;7000;1;54;45300000;45300000;765300
Películas;Películas;Animación;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MashaBearEN;0;0,017073171;7700;1;55;45100000;45100000;736000
;;;;América del Sur;Brasil;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;vcsabiavideos;717;0,110902439;49300;1;56;45100000;45100000;782600
Música y baile;Música y baile;Películas;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Alanwalkermusic;389;0,019885906;8500;1;57;44700000;44700000;102700
Música y baile;Música y baile;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KatyPerry;865;0,027948430;11600;1;58;44600000;44600000;234000
;;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BRIGHTSIDEOFFICIAL;20;0,001074157;458;1;59;44500000;44500000;20000
Música y baile;Música y baile;Animación;;América del Sur;Brasil;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;whindersson;81;0,028496629;12600;1;60;44500000;44500000;94700
Música y baile;Música y baile;;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KimberlyLoaiza;63500;1,792807425;709200;1;61;43100000;43100000;9000000
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;IshtarMusic;11;0,002204176;939;1;62;43100000;43100000;27200
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;speedrecords;47;0,002667442;1100;1;63;43000000;43000000;36900
Películas;Películas;Animación;;Ásia;Indonesia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;JessNoLimit;128;0,028871194;12200;1;64;42700000;42700000;297100
Películas;Películas;Juguetes;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LikeNastya_Show;0;0,001147541;490;1;65;42700000;42700000;117500
