Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;UltraMovieParlour;17;0,002016393;475;1;251;24400000;24400000;56800
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;DJSnake;101;0,009880658;2300;1;252;24300000;24300000;27900
Películas;Películas;Juguetes;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;PeppaPigEspanolLatinoOficial;0;0,011522634;2800;1;253;24300000;24300000;878900
Música y baile;Música y baile;Películas;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;juandediospantojaa;6900;0,950826446;223200;1;254;24200000;24200000;7200000
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;dednahype;18;0,031892562;7700;1;255;24200000;24200000;349100
Películas;Películas;Humor;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;ZachKing;2600;2,483884298;598500;1;256;24200000;24200000;12100000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;EnriqueIglesias;105;0,010764463;2500;1;257;24200000;24200000;25300
Animación;Animación;Juguetes;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;VaniaManiaKids;0;0,004979253;1200;1;258;24100000;24100000;973700
Películas;Películas;Humor;;Ásia;Indonesia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;williesalim;978;0,004058091;0;1;259;24100000;24100000;1200000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;JasonDerulo;26;0,000108333;0;1;260;24000000;24000000;55400
Belleza;Belleza;Moda;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;JamesCharles;1100;0,16125;37600;1;261;24000000;24000000;521299
Videojuegos;Videojuegos;Juguetes;;Europa;Rusia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;misskaty1133;449;0,0410375;9400;1;262;24000000;24000000;529500
Videojuegos;Videojuegos;;;Europa;Rusia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;MrMaxLife;518;0,040075;9100;1;263;24000000;24000000;561800
Vlogs diarios;Vlogs diarios;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;ZachChoi;118;0,012260504;2800;1;264;23800000;23800000;149500
Música y baile;Música y baile;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;toyorbabytv;0;0;0;1;265;23800000;23800000;104200
Animación;Animación;Juguetes;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;TroomTroom;11;0,004058824;955;1;266;23800000;23800000;50500
Animación;Animación;Videojuegos;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Ninja;279;0,074281513;17400;1;267;23800000;23800000;515299
Música y baile;Música y baile;Películas;;América del Sur;Colombia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;NickyJamTV;57;0,006542017;1500;1;268;23800000;23800000;18500
Animación;Animación;Juguetes;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Kidibli;0;0,005485232;1300;1;269;23700000;23700000;92200
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;TED;79;0,004974684;1100;1;270;23700000;23700000;42600
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;PokemonAsiaOfficialHindi;0;0,012658228;3000;1;271;23700000;23700000;737300
Música y baile;Música y baile;;;Ásia;Tailandia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;GMMGrammy;3;0,000447257;103;1;272;23700000;23700000;2600
;;;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;ValentinaPontesofc;0;0,005932203;1400;1;273;23600000;23600000;97100
Videojuegos;Videojuegos;Humor;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;loganpaulvlogs;0;0;0;1;274;23600000;23600000;0
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;WaveMusicBhojpuri;9;0,000368644;78;1;275;23600000;23600000;5300
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;GoldminesCineplex;2;0,000283898;65;1;276;23600000;23600000;7300
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;SesameStreet;0;0,005084746;1200;1;277;23600000;23600000;254500
Animación;Animación;Videojuegos;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Jelly;550;0,050211864;11300;1;278;23600000;23600000;282400
Películas;Películas;Animación;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BabyBusES;0;0,002336170;549;1;279;23500000;23500000;246900
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;vladandnikispain;0;0,006382979;1500;1;280;23500000;23500000;583100
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;IshtarPunjabi;0;0;0;1;281;23500000;23500000;0
Vlogs diarios;Vlogs diarios;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;souravjoshivlogs7028;6800;1,429059829;327600;1;282;23400000;23400000;4700000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;LIVCrime;15;0,001354701;302;1;283;23400000;23400000;20400
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;LikeNastya_PRT;0;0,007296137;1700;1;284;23300000;23300000;391000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;TechnicalGuruji;332;0,028892704;6400;1;285;23300000;23300000;95900
Animación;Animación;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;vladandnikiarab2;0;0,010729614;2500;1;286;23300000;23300000;584700
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;SMOL_official;7;0,020201717;4700;1;287;23300000;23300000;184900
Animación;Animación;Videojuegos;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;invictorgs3;490;0,079698276;18000;1;288;23200000;23200000;560500
Videojuegos;Videojuegos;Humor;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BenAzelart;4400;0,387931034;85600;1;289;23200000;23200000;5000000
Películas;Películas;Animación;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;RAFAELUIZOFICIAL;443;0,097168103;22100;1;290;23200000;23200000;556800
;;;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;DrossRotzank;3900;0,5375;120800;1;291;23200000;23200000;1700000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;VillageCookingChannel;3400;0,698701299;158000;1;292;23100000;23100000;5900000
;;;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;DUDUeCAROL;721;0,205718615;46800;1;293;23100000;23100000;1000000
Música y baile;Música y baile;Películas;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;sia;90;0,011260870;2500;1;294;23000000;23000000;24900
Animación;Animación;Videojuegos;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;SSundee;1900;0,274347826;61200;1;295;23000000;23000000;1600000
;;;;Ásia;Arabia Saudita;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;mmoshaya;457;0,024811404;5200;1;296;22800000;22800000;365300
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;bobbyprankster;311;1,001364035;228000;1;297;22800000;22800000;4200000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;NetflixIndiaOfficial;57;0,006390351;1400;1;298;22800000;22800000;42900
Películas;Películas;Videojuegos;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;fgteev;1200;0,043421053;8700;1;299;22800000;22800000;665600
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;SidhuMooseWalaOfficial;532000;12,475770925;2300000;1;300;22700000;22700000;20700000
Música y baile;Música y baile;;;Ásia;Arabia Saudita;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;rotanamusic;17;0,001637168;353;1;301;22600000;22600000;36600
Música y baile;Música y baile;Películas;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;THECHAINSMOKERS;46;0,014362832;3200;1;302;22600000;22600000;73700
Películas;Películas;Animación;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;disneyla;0;0,000955752;216;1;303;22600000;22600000;34500
Educación;Educación;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;ShriPrashant;44;0,032053097;7200;1;304;22600000;22600000;85000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;dualipa;583;0,172813333;38300;1;305;22500000;22500000;416700
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;charlieputh;146;0,020741071;4500;1;306;22400000;22400000;61600
Humor;Humor;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;royaltyfam;7000;0,364732143;74700;1;307;22400000;22400000;4200000
Música y baile;Música y baile;Películas;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;vladandnikidn;0;0,003403587;759;1;308;22300000;22300000;264600
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;NatGeo;37;0,003304933;700;1;309;22300000;22300000;35300
Animación;Animación;Juguetes;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;smilefamily363;0;0,000264574;59;1;310;22300000;22300000;12100
Animación;Animación;Juguetes;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;EvaBravoPlay;0;0,014864865;3300;1;311;22200000;22200000;889100
Música y baile;Música y baile;Animación;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;TlnovelasOficial;2;0,000436937;95;1;312;22200000;22200000;2900
Educación;Educación;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;khangsresearchcentre1685;7700;0,794594595;168700;1;313;22200000;22200000;2900000
Videojuegos;Videojuegos;Humor;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;infinite;1200;0,154054054;33000;1;314;22200000;22200000;787600
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;chotanawab;1100;0,719457014;157900;1;315;22100000;22100000;2100000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;VijayTelevision;9;0,005495455;1200;1;316;22000000;22000000;72800
Noticias y Política;Noticias y Política;;;Ásia;Filipinas;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;gmapublicaffairs;1;0,000395455;86;1;317;22000000;22000000;3300
Películas;Películas;Humor;;América del Sur;Argentina;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;IanLucasOficial;8000;1,207798165;255300;1;318;21800000;21800000;4900000
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;MrDegreeOfficial;85;0,530665138;115600;1;319;21800000;21800000;4300000
Videojuegos;Videojuegos;Humor;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;IShowSpeed;1400;0,273853211;58300;1;320;21800000;21800000;1500000
Vlogs diarios;Vlogs diarios;;;Ásia;Bangladesh;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;somoynews360;8;0,001215596;257;1;321;21800000;21800000;11700
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;beckyg;78;0,009157407;1900;1;322;21600000;21600000;31800
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;PragatiVermaaShorts;1100;0,277314815;58800;1;323;21600000;21600000;1100000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;pawansahu777;807;0,560497674;119700;1;324;21500000;21500000;1300000
Diseño/arte;Diseño/arte;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;unboxtherapy;313;0,026572093;5400;1;325;21500000;21500000;1200000
Música y baile;Música y baile;Animación;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;lyricalemonade;3900;0,439252336;90100;1;326;21400000;21400000;1700000
Educación;Educación;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;MrVivekBindra;26;0,027224299;5800;1;327;21400000;21400000;63800
Educación;Educación;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;kurzgesagt;10000;1,008411215;205800;1;328;21400000;21400000;4300000
;;;;Ásia;Indonesia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;corbuzier;5600;0,262149533;50500;1;329;21400000;21400000;2300000
Ciencia y tecnología;Ciencia y tecnología;;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;fatosdesconhecidos;435;0,038481308;7800;1;330;21400000;21400000;70100
Música y baile;Música y baile;Películas;;Ásia;Indonesia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BaimPaula;954;0,055183099;10800;1;331;21300000;21300000;339100
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;7clouds;87;0,006042254;1200;1;332;21300000;21300000;71200
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BraveWilderness;503;0,036806604;7300;1;333;21200000;21200000;203100
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;romeo;65;0,013042453;2700;1;334;21200000;21200000;31700
Comida y bebida;Comida y bebida;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;buzzfeedtasty;27;0,010976415;2300;1;335;21200000;21200000;51500
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;jaanvipatel;519;1,005278302;212600;1;336;21200000;21200000;5000000
Educación;Educación;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;KiddiestvHindi;0;0,008018868;1700;1;337;21200000;21200000;56900
Viajes;Viajes;Espectáculos;;Ásia;Bangladesh;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;SonyAATH;115;0,014693396;3000;1;338;21200000;21200000;163600
Animación;Animación;Videojuegos;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;LazarBeam;5000;0,995754717;206100;1;339;21200000;21200000;5100000
Deportes;Deportes;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;NBA;106;0,009507109;1900;1;340;21100000;21100000;73700
Películas;Películas;Humor;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BabyBusID;0;0,003450237;728;1;341;21100000;21100000;273800
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BayashiTV_;2300;1,682857143;351100;1;342;21000000;21000000;5400000
Videojuegos;Videojuegos;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;NinjaKidz;26;0,024047847;5000;1;343;20900000;20900000;247800
Humor;Humor;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;triggeredinsaan;18500;2,520192308;505700;1;344;20800000;20800000;6900000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;rkddigital;9;0,003918269;806;1;345;20800000;20800000;22000
Videojuegos;Videojuegos;;;Ásia;Indonesia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Miawaug;1100;0,110096154;21800;1;346;20800000;20800000;563600
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;EmiwayBantai;24000;1,974038462;386600;1;347;20800000;20800000;3200000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;LinkinPark;0;0;0;1;348;20800000;20800000;0
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Mnet;41;0,005004808;1000;1;349;20800000;20800000;9300
Animación;Animación;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;JoseComilaoTotoy;0;0,010628019;2200;1;350;20700000;20700000;103600
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;goldminesgreatindiancomedy2048;1;0,000222222;45;1;351;20700000;20700000;5200
Películas;Películas;;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;DannyFitt;378;0,114386473;23300;1;352;20700000;20700000;468700
Videojuegos;Videojuegos;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Cookieswirlc;298;0,009169082;1600;1;353;20700000;20700000;151100
Ciencia y tecnología;Ciencia y tecnología;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Vsauce;3600;1,341545894;274100;1;354;20700000;20700000;3000000
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;5MinuteCraftsDIY;3;0,000436893;87;1;355;20600000;20600000;10400
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;gottalentglobal;15;0,002009709;399;1;356;20600000;20600000;19000
;;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;JakeFellman;221;0,491849515;101100;1;357;20600000;20600000;1200000
Noticias y Política;Noticias y Política;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;news18India;5;0,000820388;164;1;358;20600000;20600000;9700
Videojuegos;Videojuegos;;;Europa;Rusia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;SlivkiShow;2900;0,503398058;100800;1;359;20600000;20600000;2200000
Fitness;Fitness;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;jakepaul;86;0,019349515;3900;1;360;20600000;20600000;73500
;;;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;KarlaBustillos;1800;1,187317073;241600;1;361;20500000;20500000;3200000
Videojuegos;Videojuegos;Humor;;Europa;Reino Unido;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;Sidemen;7300;1,529756098;306300;1;362;20500000;20500000;7400000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;PandaShorts;121;0,213760976;43700;1;363;20500000;20500000;796300
Películas;Películas;Humor;;Ásia;Iraq;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;noorstars;168;0,018470588;3600;1;364;20400000;20400000;76500
Música y baile;Música y baile;;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;gusttavolimaoficial;89;0,016122549;3200;1;365;20400000;20400000;39200
Películas;Películas;Animación;;América del Norte;México;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;degoboom;229;0,017789216;3400;1;366;20400000;20400000;140500
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;WowKidzAction;0;0,007843137;1600;1;367;20400000;20400000;105200
Animación;Animación;Videojuegos;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;RobinHoodGamer1;343;0,074720588;14900;1;368;20400000;20400000;308500
;;;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;greengoldtv;0;0,005882353;1200;1;369;20400000;20400000;88700
Películas;Películas;Animación;;;;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;PinkPanther;0;0,011274510;2300;1;370;20400000;20400000;336400
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;officialajaysharma07;62;0,145133005;29400;1;371;20300000;20300000;784800
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;deepesh_zo;206;0,454709360;92100;1;372;20300000;20300000;1400000
Vlogs diarios;Vlogs diarios;;;Ásia;Turquía;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;korayzeynep;0;0,232019704;47100;1;373;20300000;20300000;2000000
Películas;Películas;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;5MinuteCraftsPLAY;3;0,000492611;97;1;374;20300000;20300000;9500
Comida y bebida;Comida y bebida;Salud y autoayuda;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;gordonramsay;116;0,007504950;1400;1;375;20200000;20200000;65000
Películas;Películas;Animación;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;marvel;452;0,034910891;6600;1;376;20200000;20200000;144600
Comida y bebida;Comida y bebida;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BuzzFeedVideo;7;0,002475248;493;1;377;20200000;20200000;18300
Música y baile;Música y baile;Películas;;Ásia;Indonesia;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;sctv_;9;0,001420792;278;1;378;20200000;20200000;12100
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;PTXofficial;61;0,014658416;2900;1;379;20200000;20200000;54200
Películas;Películas;Videojuegos;;América del Sur;Brasil;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;AuthenticGames;64;0,010712871;2100;1;380;20200000;20200000;27000
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;etvteluguindia;1;0,001641791;329;1;381;20100000;20100000;17000
Música y baile;Música y baile;Películas;;Europa;Reino Unido;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;BGT;18;0,00264;510;1;382;20000000;20000000;32000
Animación;Animación;Humor;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;pencilmation;20;0,00416;812;1;383;20000000;20000000;45300
;;;;Ásia;India;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;ASGamingsahil;391;0,056455;10900;1;384;20000000;20000000;145400
Deportes;Deportes;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;fifa;33;0,014165;2800;1;385;20000000;20000000;80900
Humor;Humor;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;React;335;0,037675;7200;1;386;20000000;20000000;175000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;Paises-Continentes.xlsx/Paises-Continentes-1,youtubers_df.csv-1;VEVO;3;0,000985;194;1;387;20000000;20000000;5400
